id,text_clean,label
56,do you know what mallika sherawat did yesterday find out now lt url gt,ham
57,congrats 1 year special cinema pass for 2 is yours call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420 ip4 5we 150pm dont miss out,spam
58,sorry i ll call later in meeting,ham
59,tell where you reached,ham
60,yes gauti and sehwag out of odi series,ham
61,your gonna have to pick up a 1 burger for yourself on your way home i can t even move pain is killing me,ham
62,ha ha ha good joke girls are situation seekers,ham
63,its a part of checking iq,ham
64,sorry my roommates took forever it ok if i come by now,ham
65,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,ham
66,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a 1500 bonus prize call 09066364589,spam
67,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,ham
68,urgent ur awarded a complimentary trip to eurodisinc trav aco entry41 or 1000 to claim txt dis to 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,spam
69,did you hear about the new divorce barbie it comes with all of ken s stuff,spam
70,i plane to give on this month end,ham
71,wah lucky man then can save money hee,ham
72,finished class where are you,ham
73,hi babe im at home now wanna do something xx,ham
74,k k where are you how did you performed,ham
75,u can call me now,ham
76,i am waiting machan call me once you free,ham
77,thats cool i am a gentleman and will treat you with dignity and respect,ham
78,i like you peoples very much but am very shy pa,ham
79,does not operate after lt gt or what,ham
80,its not the same here still looking for a job how much do ta s earn there,ham
81,sorry i ll call later,ham
82,k did you call me just now ah,ham
83,ok i am on the way to home hi hi,ham
84,you will be in the place of that man,ham
85,yup next stop,ham
86,i call you later don t have network if urgnt sms me,ham
87,for real when u getting on yo i only need 2 more tickets and one more jacket and i m done i already used all my multis,ham
88,yes i started to send requests to make it but pain came back so i m back in bed double coins at the factory too i gotta cash in all my nitros,ham
89,i m really not up to it still tonight babe,ham
90,ela kano il download come wen ur free,ham
91,yeah do don t stand to close tho you ll catch something,ham
92,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i haven t done any of y stuff42moro and that includes all my time sheets and that sorry,ham
93,smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,ham
94,please call our customer service representative on 0800 169 6031 between 10am 9pm as you have won a guaranteed 1000 cash or 5000 prize,spam
95,havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,ham
96,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16,spam
97,watching telugu movie wat abt u,ham
98,i see when we finish we have loads of loans to pay,ham
99,hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u,ham
100,i see a cup of coffee animation,ham
101,please don t text me anymore i have nothing else to say,ham
102,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,ham
103,i m still looking for a car to buy and have not gone 4the driving test yet,ham
104,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,ham
105,wow you re right i didn t mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,ham
106,umma my life and vava umma love you lot dear,ham
107,thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,ham
108,aight i ll hit you up when i get some cash,ham
109,how would my ip address test that considering my computer isn t a minecraft server,ham
110,i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,ham
111,dont worry i guess he s busy,ham
112,what is the plural of the noun research,ham
113,going for dinner msg you after,ham
114,i m ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,ham
115,gent we are trying to contact you last weekends draw shows that you won a 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,spam
116,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happened,ham
117,as i entered my cabin my pa said happy b day boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,ham
118,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910p min 18,spam
119,goodo yes we must speak friday egg potato ratio for tortilla needed,ham
120,hmm my uncle just informed me that he s paying the school directly so pls buy food,ham
121,private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,spam
122,urgent your mobile no was awarded 2000 bonus caller prize on 5 9 03 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm,spam
123,here is my new address apples pairs all that malarky,ham
124,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam
125,i am going to sao mu today will be done only at 12,ham
126,predict wat time ll finish buying,ham
127,good stuff will do,ham
128,just so that you know yetunde hasn t sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldn t have imposed anything on you in the first place so for that i apologise,ham
129,are you there in room,ham
130,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,ham
131,k k how much does it cost,ham
132,i m home,ham
133,dear will call tmorrow pls accomodate,ham
134,first answer my question,ham
135,sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 1 50 sp tyrone,spam
136,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the uk s largest dogging network bt txting gravel to 69888 nt ec2a 31p msg 150p,spam
137,i only haf msn it s yijue hotmail com,ham
138,he is there you call and meet him,ham
139,no no i will check all rooms befor activities,ham
140,you ll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network try again,spam
141,got c i lazy to type i forgot in lect i saw a pouch but like not v nice,ham
142,k text me when you re on the way,ham
143,sir waiting for your mail,ham
144,a swt thought nver get tired of doing little things 4 lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni8,ham
145,i know you are can you pls open the back,ham
146,yes see ya not on the dot,ham
147,whats the staff name who is taking class for us,ham
148,freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end,spam
149,ummma will call after check in our life will begin from qatar so pls pray very hard,ham
150,k i deleted my contact that why,ham
151,sindu got job in birla soft,ham
152,the wine is flowing and i m i have nevering,ham
153,yup i thk cine is better cos no need 2 go down 2 plaza mah,ham
154,ok ur typical reply,ham
155,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,ham
156,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,ham
157,aaooooright are you at work,ham
158,i m leaving my house now,ham
159,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me,ham
160,customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery,spam
161,you are a winner u have been specially selected 2 receive 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810,spam
162,keep yourself safe for me because i need you and i miss you already and i envy everyone that see s you in real life,ham
163,new car and house for my parents i have only new job in hand,ham
164,i m so in love with you i m excited each day i spend with you you make me so happy,ham
165,pls stop bootydelious 32 f is inviting you to be her friend reply yes 434 or no 434 see her www sms ac u bootydelious stop send stop frnd to 62468,spam
166,bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internet service menu,spam
167,i place all ur points on e cultures module already,ham
168,urgent we are trying to contact you last weekends draw shows that you have won a 900 prize guaranteed call 09061701939 claim code s89 valid 12hrs only,spam
169,hi frnd which is best way to avoid missunderstding wit our beloved one s,ham
170,great escape i fancy the bridge but needs her lager see you tomo,ham
171,yes it completely in out of form clark also utter waste,ham
172,sir i need axis bank account no and bank address,ham
173,hmmm thk sure got time to hop ard ya can go 4 free abt muz call u to discuss liao,ham
174,what time you coming down later,ham
175,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,ham
176,well i m gonna finish my bath now have a good fine night,ham
177,let me know when you ve got the money so carlos can make the call,ham
178,u still going to the mall,ham
179,turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth,ham
180,text her if she doesnt reply let me know so i can have her log in,ham
181,hi you just spoke to maneesha v we d like to know if you were satisfied with the experience reply toll free with yes or no,ham
182,you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr8 weekend,ham
183,lol no u can trust me,ham
184,ok i am a gentleman and will treat you with dignity and respect,ham
185,he will you guys close,ham
186,going on nothing great bye,ham
187,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me,ham
188,haha awesome be there in a minute,ham
189,please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you have won a guaranteed 1000 cash or 5000 prize,spam
190,have you got xmas radio times if not i will get it now,ham
191,i jus reached home i go bathe first but my sis using net tell u when she finishes k,ham
192,are you unique enough find out from 30th august www areyouunique co uk,spam
193,i m sorry i ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,ham
194,hi finally i completed the course,ham
195,it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,ham
196,how are you doing hope you ve settled in for the new school year just wishin you a gr8 day,ham
197,gud mrng dear hav a nice day,ham
198,did u got that persons story,ham
199,is your hamster dead hey so tmr i meet you at 1pm orchard mrt,ham
200,hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,ham
201,found it enc lt gt where you at,ham
202,i sent you lt gt bucks,ham
203,hello darlin ive finished college now so txt me when u finish if u can love kate xxx,ham
204,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance is rs lt decimal gt your transaction id is kr lt gt,ham
205,goodmorning sleeping ga,ham
206,u call me alter at 11 ok,ham
207,say until like dat i dun buy ericsson oso cannot oredi lar,ham
208,as i entered my cabin my pa said happy b day boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,ham
209,aight yo dats straight dogg,ham
210,you please give us connection today itself before lt decimal gt or refund the bill,ham
211,both i shoot big loads so get ready,ham
212,what s up bruv hope you had a great break do have a rewarding semester,ham
213,home so we can always chat,ham
214,k k good study well,ham
215,yup how noe leh,ham
216,sounds great are you home now,ham
217,finally the match heading towards draw as your prediction,ham
218,tired i haven t slept well the past few nights,ham
219,easy ah sen got selected means its good,ham
220,i have to take exam with march 3,ham
221,yeah you should i think you can use your gt atm now to register not sure but if there s anyway i can help let me know but when you do be sure you are ready,ham
222,ok no prob take ur time,ham
223,there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop,ham
224,sorry i ll call later,ham
225,u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,ham
226,500 new mobiles from 2004 must go txt nokia to no 89545 collect yours today from only 1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18,spam
227,would really appreciate if you call me just need someone to talk to,ham
228,will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt horo followed by ur star sign e g horo aries,spam
229,hey company elama po mudyadhu,ham
230,life is more strict than teacher bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning,ham
231,dear good morning now only i am up,ham
232,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right,ham
233,dear we are going to our rubber place,ham
234,sorry battery died yeah i m here,ham
235,yes here tv is always available in work place,ham
236,text meet someone sexy today u can find a date or even flirt its up to u join 4 just 10p reply with name age eg sam 25 18 msg recd thirtyeight pence,spam
237,i have printed it oh so lt gt come upstairs,ham
238,or ill be a little closer like at the bus stop on the same street,ham
239,where are you when wil you reach here,ham
240,new theory argument wins d situation but loses the person so dont argue with ur friends just kick them amp say i m always correct,ham
241,u 447801259231 have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094597,spam
242,tomarrow final hearing on my laptop case so i cant,ham
243,pleassssssseeeeee tel me v avent done sportsx,ham
244,okay no no just shining on that was meant to be signing but that sounds better,ham
245,although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u thanx 4 everything dat u ve done today i m touched,ham
246,u don t remember that old commercial,ham
247,too late i said i have the website i didn t i have or dont have the slippers,ham
248,i asked you to call him now ok,ham
249,kallis wont bat in 2nd innings,ham
250,it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep,ham
251,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,spam
252,ranjith cal drpd deeraj and deepak 5min hold,ham
253,wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,ham
254,what you doing how are you,ham
255,ups which is 3days also and the shipping company that takes 2wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff,ham
256,i m back lemme know when you re ready,ham
257,don t necessarily expect it to be done before you get back though because i m just now headin out,ham
258,mmm so yummy babe nice jolt to the suzy,ham
259,where are you lover i need you,ham
260,we tried to contact you re your reply to our offer of a video handset 750 anytime networks mins unlimited text camcorder reply or call 08000930705 now,spam
261,i m parked next to a mini when are you coming in today do you think,ham
262,yup,ham
263,anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao,ham
264,my no in luton 0125698789 ring me if ur around h,ham
265,hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam
266,why you dint come with us,ham
267,same wana plan a trip sometme then,ham
268,not sure yet still trying to get a hold of him,ham
269,ur ringtone service has changed 25 free credits go to club4mobiles com to choose content now stop txt club stop to 87070 150p wk club4 po box1146 mk45 2wt,spam
270,the evo i just had to download flash jealous,ham
271,ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,spam
272,come to mu we re sorting out our narcotics situation,ham
273,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay,ham
274,hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions play now send hmv to 86688 more info www 100percent real com,spam
275,usf i guess might as well take 1 car,ham
276,no objection my bf not coming,ham
277,thanx,ham
278,tell rob to mack his gf in the theater,ham
279,awesome i ll see you in a bit,ham
280,just sent it so what type of food do you like,ham
281,all done all handed in celebrations in full swing yet,ham
282,you got called a tool,ham
283,wen u miss someone the person is definitely special for u but if the person is so special why to miss them just keep in touch gdeve,ham
284,ok i asked for money how far,ham
285,okie,ham
286,yeah i think my usual guy s still passed out from last night if you get ahold of anybody let me know and i ll throw down,ham
287,k i might come by tonight then if my class lets out early,ham
288,ok,ham
289,hi baby im cruisin with my girl friend what r u up 2 give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,ham
290,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,ham
291,dear shall mail tonite busy in the street shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense,ham
292,hey you told your name to gautham ah,ham
293,haf u found him i feel so stupid da v cam was working,ham
294,oops 4 got that bit,ham
295,are you this much buzy,ham
296,i accidentally deleted the message resend please,ham
297,t mobile customer you may now claim your free camera phone upgrade a pay go sim card for your loyalty call on 0845 021 3680 offer ends 28thfeb t c s apply,spam
298,unless it s a situation where you go gurl would be more appropriate,ham
299,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,ham
300,i cant pick the phone right now pls send a message,ham
301,need a coffee run tomo can t believe it s that time of week already,ham
302,awesome i remember the last time we got somebody high for the first time with diesel v,ham
303,shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi,ham
304,oh and by the way you do have more food in your fridge want to go out for a meal tonight,ham
305,he is a womdarfull actor,ham
306,sms ac blind date 4u rodds1 is 21 m from aberdeen united kingdom check him out sms ac w icmb3cktz8r7 4 no blind dates send hide,spam
307,yup from what i remb i think should be can book,ham
308,jos ask if u wana meet up,ham
309,lol yes our friendship is hanging on a thread cause u won t buy stuff,ham
310,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468,spam
311,where are the garage keys they aren t on the bookshelf,ham
312,today is accept day u accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,ham
313,think ur smart win 200 this week in our weekly quiz text play to 85222 now t cs winnersclub po box 84 m26 3uz 16 gbp1 50 week,spam
314,he says he ll give me a call when his friend s got the money but that he s definitely buying before the end of the week,ham
315,hi the way i was with u 2day is the normal way this is the real me ur unique i hope i know u 4 the rest of mylife hope u find wot was lost,ham
316,you made my day do have a great day too,ham
317,k k advance happy pongal,ham
318,hmmm guess we can go 4 kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,ham
319,not really dude have no friends i m afraid,ham
320,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906,spam
321,coffee cake i guess,ham
322,merry christmas to you too babe i love ya kisses,ham
323,hey why dont we just go watch x men and have lunch haha,ham
324,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full im still waitin 4 1 pete x,ham
325,that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week,ham
326,no problem how are you doing,ham
327,no calls messages missed calls,ham
328,hi da how is the todays class,ham
329,i d say that s a good sign but well you know my track record at reading women,ham
330,cool text me when you re parked,ham
331,i m reading the text i just sent you its meant to be a joke so read it in that light,ham
332,k k apo k good movie,ham
333,maybe i could get book out tomo then return it immediately or something,ham
334,call germany for only 1 pence per minute call from a fixed line via access number 0844 861 85 85 no prepayment direct access,spam
335,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again or i will report you to your supervisor,ham
336,valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150p msg rcvd custcare 08718720201,spam
337,ta daaaaa i am home babe are you still up,ham
338,cool so how come you havent been wined and dined before,ham
339,just sleeping and surfing,ham
340,sorry i ll call later,ham
341,u calling me right call my hand phone,ham
342,ok that s great thanx a lot,ham
343,i take it the post has come then you must have 1000s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,ham
344,where u been hiding stranger,ham
345,am not interested to do like that,ham
346,my sister cleared two round in birla soft yesterday,ham
347,gudnite tc practice going on,ham
348,dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,ham
349,one small prestige problem now,ham
350,fancy a shag i do interested sextextuk com txt xxuk suzy to 69876 txts cost 1 50 per msg tncs on website x,spam
351,just checking in on you really do miss seeing jeremiah do have a great month,ham
352,nah can t help you there i ve never had an iphone,ham
353,if you re not in my car in an hour and a half i m going apeshit,ham
354,today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault i m basically good,ham
355,yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,ham
356,lt gt ish minutes was 5 minutes ago wtf,ham
357,thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh ex tata aig who joined tissco tayseer,ham
358,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,spam
359,ur cash balance is currently 500 pounds to maximize ur cash in now send cash to 86688 only 150p msg cc 08708800282 hg suite342 2lands row w1j6hl,spam
360,i m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i always sleep late when you re unemployed every day is saturday,ham
361,hello just got here st andrews boy its a long way its cold i will keep you posted,ham
362,ha ha cool cool chikku chikku db,ham
363,oh ok no prob,ham
364,check audrey s status right now,ham
365,busy here trying to finish for new year i am looking forward to finally meeting you,ham
366,good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always,ham
367,well i know z will take care of me so no worries,ham
368,update now xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt on orange call mobileupd8 on 08000839402 or call2optout f4q,spam
369,here is your discount code rp176781 to stop further messages reply stop www regalportfolio co uk customer services 08717205546,spam
370,wat uniform in where get,ham
371,cool text me when you re ready,ham
372,hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you,ham
373,i will spoil you in bed as well,ham
374,i m going for bath will msg you next lt gt min,ham
375,i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,ham
376,thanks for your ringtone order reference t91 you will be charged gbp 4 per week you can unsubscribe at anytime by calling customer services on 09057039994,spam
377,can you say what happen,ham
378,you could have seen me i did t recognise you face,ham
379,well there s not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,ham
380,keep my payasam there if rinu brings,ham
381,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,ham
382,i guess that s why you re worried you must know that there s a way the body repairs itself and i m quite sure you shouldn t worry we ll take it slow first the tests they will guide when your ovulation is then just relax nothing you ve said is a reason to worry but i ll keep on followin you up,ham
383,yeah sure give me a couple minutes to track down my wallet,ham
384,hey leave it not a big deal take care,ham
385,hey i will be late ah meet you at 945,ham
386,double mins and txts 4 6months free bluetooth on orange available on sony nokia motorola phones call mobileupd8 on 08000839402 or call2optout n9dx,spam
387,it took mr owl 3 licks,ham
388,customer place i will call you,ham
389,mm that time you dont like fun,ham
390,4mths half price orange line rental latest camera phones 4 free had your phone 11mths call mobilesdirect free on 08000938767 to update now or2stoptxt,spam
391,yup having my lunch buffet now u eat already,ham
392,huh so late fr dinner,ham
393,hey so this sat are we going for the intro pilates only or the kickboxing too,ham
394,morning only i can ok,ham
395,yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,ham
396,pick you up bout 7 30ish what time are and that going,ham
397,from here after the performance award is calculated every two month not for current one month period,ham
398,was actually sleeping and still might when u call back so a text is gr8 you rock sis will send u a text wen i wake,ham
399,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated,ham
400,good evening sir al salam wahleykkum sharing a happy news by the grace of god i got an offer from tayseer tissco and i joined hope you are fine inshah allah meet you sometime rakhesh visitor from india,ham
401,hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator,ham
402,free ringtone text first to 87131 for a poly or text get to 87131 for a true tone help 0845 2814032 16 after 1st free tones are 3x 150pw to e nd txt stop,spam
403,dear how is chechi did you talk to her,ham
404,the hair cream has not been shipped,ham
405,none of that s happening til you get here though,ham
406,yep the great loxahatchee xmas tree burning of lt gt starts in an hour,ham
407,haha get used to driving to usf man i know a lot of stoners,ham
408,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always,ham
409,hello good week fancy a drink or something later,ham
410,headin towards busetop,ham
411,message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,ham
412,come by our room at some point so we can iron out the plan for this weekend,ham
413,cos i want it to be your thing,ham
414,okies i ll go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah,ham
415,bring home some wendy d,ham
416,100 dating service cal l 09064012103 box334sk38ch,spam
417,whatsup there dont u want to sleep,ham
418,alright i have a new goal now,ham
419,free entry into our 250 weekly competition just text the word win to 80086 now 18 t c www txttowin co uk,spam
420,alright i ll head out in a few minutes text me where to meet you,ham
421,send a logo 2 ur lover 2 names joined by a heart txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo pobox36504w45wq txtno 4 no ads 150p,spam
422,yes from last week itself i m taking live call,ham
